k,lambda,lr,step,val_acc,train_loss,test_acc
10,0.0,0.1,5,0.6120519333897827,7.017230779398233,0.6212249506068304
50,0.0,0.1,5,0.5948348856900931,7.345079172868282,0.6025966694891335
100,0.0,0.1,5,0.5913068021450748,7.298175933538005,0.6158622636184025
200,0.0,0.1,5,0.5990685859441152,7.456411438877694,0.5975162291843071
500,0.0,0.1,5,0.5783234546994073,7.572818401153199,0.5932825289302851
10,0.001,0.1,5,0.40431837425910244,13.215795281459577,0.41264465142534573
50,0.001,0.1,5,0.39923793395427604,16.678788543329574,0.4041772509173017
100,0.001,0.1,5,0.39923793395427604,17.437722751987167,0.4041772509173017
200,0.001,0.1,5,0.39923793395427604,16.83364831423387,0.4041772509173017
500,0.001,0.1,5,0.39923793395427604,17.42446793790441,0.4041772509173017
10,0.0001,0.1,5,0.5774767146486028,7.587922497885302,0.5952582557154953
50,0.0001,0.1,5,0.5797346881174146,7.685837139724754,0.5870731018910528
100,0.0001,0.1,5,0.6010443127293255,7.162158675608225,0.6093705898955687
200,0.0001,0.1,5,0.5818515382444256,7.521712294546887,0.5817104149026249
500,0.0001,0.1,5,0.59808072255151,7.269473235704936,0.6164267569856055
10,0.0,0.05,5,0.4031893875246966,14.47589825571049,0.41095117132373693
50,0.0,0.05,5,0.4110922946655377,13.513437448535115,0.42195879198419417
100,0.0,0.05,5,0.44228055320349985,11.555433414992876,0.4558283940163703
200,0.0,0.05,5,0.39937905729607676,16.237025851150975,0.40445949760090316
500,0.0,0.05,5,0.4383290996330793,12.285991852520965,0.4419983065198984
10,0.001,0.05,5,0.39923793395427604,17.89651457197033,0.4041772509173017
50,0.001,0.05,5,0.39923793395427604,17.64915641536936,0.4041772509173017
100,0.001,0.05,5,0.39923793395427604,17.757392511120997,0.4041772509173017
200,0.001,0.05,5,0.39923793395427604,17.839616860612296,0.4041772509173017
500,0.001,0.05,5,0.39923793395427604,17.84260256262496,0.4041772509173017
10,0.0001,0.05,5,0.4020604007902907,15.049464114767034,0.4075642111205193
50,0.0001,0.05,5,0.39923793395427604,16.614844052004628,0.4041772509173017
100,0.0001,0.05,5,0.4014959074230878,15.26554690534249,0.4069997177533164
200,0.0001,0.05,5,0.4006491673722834,15.176284419721924,0.40671747106971495
500,0.0001,0.05,5,0.41730172170477,13.336763035855256,0.41631385831216483
10,0.0,0.01,5,0.39923793395427604,18.173938288819045,0.4041772509173017
50,0.0,0.01,5,0.39923793395427604,18.106830775737762,0.4041772509173017
100,0.0,0.01,5,0.39923793395427604,18.144830818055198,0.4041772509173017
200,0.0,0.01,5,0.39923793395427604,18.20545369980391,0.4041772509173017
500,0.0,0.01,5,0.39923793395427604,18.196361823705956,0.4041772509173017
10,0.001,0.01,5,0.39923793395427604,18.241525022662245,0.4041772509173017
50,0.001,0.01,5,0.39923793395427604,18.214247262803838,0.4041772509173017
100,0.001,0.01,5,0.39923793395427604,18.150786389480345,0.4041772509173017
200,0.001,0.01,5,0.39923793395427604,18.211272201966494,0.4041772509173017
500,0.001,0.01,5,0.39923793395427604,18.244086887221783,0.4041772509173017
10,0.0001,0.01,5,0.39923793395427604,18.247356858686544,0.4041772509173017
50,0.0001,0.01,5,0.39923793395427604,18.142324967484456,0.4041772509173017
100,0.0001,0.01,5,0.39923793395427604,18.291274840710685,0.4041772509173017
200,0.0001,0.01,5,0.39923793395427604,18.195672314963304,0.4041772509173017
500,0.0001,0.01,5,0.39923793395427604,18.135364103713073,0.4041772509173017
10,0.0,0.1,10,0.6624329664126446,6.395897952723317,0.6635619531470506
50,0.0,0.1,10,0.655376799322608,6.376570079242811,0.6629974597798476
100,0.0,0.1,10,0.6581992661586227,6.381058297003619,0.6604572396274344
